correct_spelling,wrong_spelling
Albert,Ab
Chautauqua,Chateau
Easter,ester
I,a
I,and
I,are
I,he
I,i
I,if
I,is
I,it
I,we
June,Jun
Leicester,Lester
Mr,Mrs
a,I
a,ah
a,an
a,and
a,are
a,as
a,the
a-quiver,aquiver
a_long,along
a_lot,lot
able,alb
about,abound
about,ad
about,bout
about,of
about,out
about,to
above,a
above,about
above,alowe
above,beneath
above,dong
absurd,absorb
absurd,absorbed
accept,except
acceptable,acceptably
acceptable,actable
accident,accend
accident,and
accident,axed
accident,exedent
accident,sedent
accidentally,accidently
accommodate,accommodation
accompanying,accompany
accomplished,accomplish
accordingly,o
accrued,accrue
accrued,accurate
accrued,accused
accrued,approve
accrued,crude
accustomed,accustom
ache,ake
acknowledgement,acknowledge
acknowledgement,knowledgement
acknowledging,acknowledge
acquaintance,acquaint
acquaintance,acquainted
acre,acher
act,at
actually,ache
actually,acting
actually,albee
actually,as
actually,at
add,ad
add,ade
adequate,addict
adequate,etiquette
adheres,adhere
adjourned,adjoined
adjourned,adjourn
advance,at
advice,advise
advise,advice
aeroplane,airplane
aeroplane,plane
affect,effect
affectionate,affection
affectionate,affectionately
affectionate,affectioned
affectionately,affectionally
affectionately,effectually
affects,effects
afterwards,afterward
again,agen
again,agon
again,cran
again,organ
against,again
aged,ace
aged,age
agencies,agency
ago,go
agree,agre
aid,ade
aim,ame
air,aer
air,ar
air,are
air,hair
all,a
all,at
all_right,alright
allow,alow
allowed,aloud
along,all
alpine,alkine
already,all
alright,all
also,all
altimeter,altometer
altitude,oiled
alumnae,alumni
alumni,aluminum
alumni,alumna
alumni,alumnae
always,alway
am,an
am,ham
amiable,alienable
amiable,alliable
amiable,amenable
amiable,amicable
amiable,animable
amiable,kindly
an,a
an,am
an,and
an,on
an,un
analysis,analyse
analysis,analyses
analyze,analyse
and,I
and,a
and,an
and,are
and,so
and,than
angel,angle
angle,angel
animals,animal
annoyance,announce
annum,alum
annum,anam
annum,anama
annum,anan
annum,anima
annum,animal
annum,anon
annum,atom
annum,enema
another,anther
another,any
answer,a
answer,also
answer,ansar
answer,arsis
answer,as
answer,ass
answer,awner
answer,raser
answer,sare
answer,than
answer,us
anticipating,anticipate
anticipating,anticipation
anticipation,anticipate
anxiety,anxiously
anxious,anguis
any,a
any,ame
any,an
any,anes
any,en
any,ended
any,ever
any,get
any,here
any,nea
any,nei
apology,apologize
apparent,parent
appears,appear
appetite,apatite
apple,ait
apples,apple
appropriate,appreciate
approximate,approximately
are,aer
are,ah
are,ar
are,er
are,oar
are,or
are,ore
are,our
are,r
are,ra
are,re
are,rea
are,run
are,ur
area,are
arm,arn
around,ar
around,arad
around,rand
around,rend
around,rond
around,round
arranged,arrange
arrangements,arrangement
arrived,arrive
arrow,arow
art,ort
as,a
as,at
as,have
as,his
as,is
as,saw
as,was
as_well,aswell
ascertain,assertion
ashamed,ashame
asked,ask
assembly,assemble
associate,associate
at,a
at,al
at,an
at,as
atoms,atom
attach,attache
attaching,attache
attaching,attached
attack,attach
attorneys,attorney
auditorium,auditor
auditorium,auditorial
auditorium,auditory
august,agust
aunt,aint
aunt,ant
aunt,ante
avoid,abord
avoid,avenge
avoid,aver
avoid,avid
avoid,awd
away,alway
away,aware
away,wag
away,war
awe,ore
awful,although
ax,ask
ax,ox
babies,babe
babies,baby
baby,baba
baby,babe
back,bac
back,bach
back,bake
back,blart
back,brack
back,dak
back,dark
back,fut
backwards,backwoods
bacon,backen
bacon,baken
bad,bed
bake,back
ball,bal
ball,boll
ballot,ballet
band,bande
band,bend
bankruptcy,bankrupt
barbed,barb
bare,bear
bared,barred
barn,bran
base,bach
base,bas
base,bass
base,best
base,blas
base,das
base,pace
base,pare
basis,bases
bat,bate
bat,bet
bath,barth
bathe,bath
battle,battel
be,b
be,bee
be,been
be,by
be,d
be,de
be,linge
beach,beech
bean,been
bean,ben
beans,bean
bear,bar
bear,bare
bearers,bearer
beast,best
beat,beet
beat,bet
beaten,beat
beautiful,boots
beautiful,bott
beautiful,buttle
beautiful,pont
because,become
because,cause
becomes,become
bed,bad
bee,be
beech,beach
been,be
been,bean
been,being
been,ben
been,bend
been,bene
been,bent
been,bin
been,dan
been,din
beet,beat
before,for
beg,back
beg,bag
beg,bal
beg,bark
beg,bath
beg,bay
beg,bed
beg,ben
beg,berg
beg,bet
beg,big
beg,bot
beg,bug
beg,dak
beg,deg
beg,dong
beg,peg
began,begun
beginning,be
beginning,been
beginning,begging
beginning,being
beginning,bending
beginning,bing
beginning,binning
beginning,ding
behaviour,behave
behind,bind
behind,dan
being,be
being,been
belief,beleaf
belief,beleave
belief,believe
belief,belive
belief,belve
belief,best
believe,belief
believe,belive
bell,ball
below,blow
belt,ba
belt,bat
belt,bate
belt,beat
belt,bet
belt,bite
belt,blat
belt,bleat
belt,blot
belt,boot
belt,bout
belt,dolt
belt,left
belt,pat
belts,bes
bend,band
beneath,benet
beneath,benight
beneficial,benefactor
beneficial,beneficent
beneficial,beni
bent,bant
besides,beside
best,bass
best,bast
best,be
best,beast
best,beat
best,bes
best,bet
best,bister
bet,bat
bet,beat
better,bet
bible,bibble
bid,bed
big,beg
big,bog
big,dig
biggest,big
bill,bell
birth,berth
biscuits,biscuit
bit,bite
bit,pit
bite,bit
blaze,blase
blew,blow
blew,blue
blond,blonde
blot,blat
blow,blo
blow,plow
blue,blow
board,bord
boarder,border
boat,bot
body,bode
body,p
bomb,bom
bomb,book
bomb,boom
bombarding,boma
bond,bound
bonded,bonding
bone,bon
books,book
border,boarder
border,bourder
bore,boar
bore,board
bore,boor
bored,bawd
bored,boar
bored,board
bored,bode
bored,boled
bored,bord
bored,boring
bored,bourd
bored,post
born,borne
borrow,barrow
borrow,brow
boss,bose
bought,bout
bought,brought
bound,bond
bounds,bound
bowl,bole
boy,bay
boys,boy
braid,brad
brain,bain
brain,bran
brain,brin
brake,break
branch,brach
brand,bran
bread,brad
bread,bred
breadth,breath
break,brack
break,brake
break,breach
break,brock
breaking,p
breath,breathe
breath,breth
breathe,beath
breathe,berth
breathe,breath
breathe,breth
breathe,breve
breathe,brith
bricks,brick
bridge,big
bridge,binge
bridge,brig
bridge,bright
bridge,bring
bridge,bus
bridge,dight
bridge,dug
bridge,hish
bridge,ridge
bright,brit
bring,bing
broad,brod
broke,brock
broke,broken
brook,brock
brought,bought
brought,brot
brought,brough
brush,bush
buck,bouk
bud,bod
bud,but
bug,big
buildings,building
built,blite
built,build
