correct_spelling,wrong_spelling
Chautauqua,Chataukowa
Chautauqua,Chatauwkwa
Chautauqua,Chatogua
Chautauqua,Chatuaca
Chautauqua,Chatwakwa
Chautauqua,Chautakye
Chautauqua,Chetdacowa
Chautauqua,Chetoquoi
Chautauqua,Chitacque
Chautauqua,Chitoqua
Chautauqua,Chittiqua
Chautauqua,Chottago
Chautauqua,Chuatuaque
Chautauqua,Chutouko
Chautauqua,Schtaka
Chautauqua,Shatacua
Chautauqua,Shatakiwa
Chautauqua,Shawtachwa
Chautauqua,Shitaka
Chautauqua,Showtucwa
Chautauqua,chatacuia
Chautauqua,chataque
Chautauqua,chetickway
Chautauqua,chitacwa
Chautauqua,chitiquea
Chautauqua,chituaquea
Chautauqua,shatakwa
Pekinese,pikaness
accident,exiedent
accordance,acaurtens
accordance,acordens
accordance,acordounse
accordance,acorrdens
accrued,acroude
acknowledgement,acnologement
acknowledging,acknolgeing
acknowledging,ecnuliging
acknowledging,egnoliging
acquaintance,accountance
acquaintance,accuntence
acquaintance,acqunatince
acquaintance,aquantience
acquaintance,aquentence
acre,accour
actually,accotly
actually,acwtly
adequate,adccuet
adequate,addiequiet
adequate,addiquit
adequate,adgat
adequate,atiquit
adequate,attaquit
adequate,atuqut
adequate,ediquet
adequate,ediquit
adequate,ediquitt
adequate,etiquit
aeroplane,aira_plan
aeroplane,ereplun
affectionately,efectiontily
affectionately,effectiantly
affidavit,Affi_David
affidavit,Afi_David
affidavit,afadavate
affidavit,afadaviate
affidavit,afadavide
affidavit,afadivite
affidavit,afaedaviate
affidavit,afedaved
affidavit,affadivate
affidavit,afidefed
affidavit,afodivid
affidavit,aphadavet
affidavit,aphadavid
affidavit,aphadivode
affidavit,aphedavid
affidavit,avadavate
alfalfa,alphalpha
all_right,all-ready
allowed,oloud
although,allthow
altitude,alteytod
amiable,aimabial
amiable,aimeuball
amiable,imapeal
analysis,anallausus
analysis,anlices
analysis,annalisous
analysis,annalizes
analysis,anneylesses
analysis,annlazes
anniversary,anaversarie
anniversary,aneversere
anniversary,annaverserie
anniversary,annevarcery
annoyance,announs
annoyance,anoianes
annoyance,anoines
annoyance,anoynas
annoyance,enoience
annoyance,enoince
annoyance,unoiense
anticipate,antisapait
anticipate,antisapt
anticipate,entesepate
anxiety,angseit
anxiety,angsyity
anxiety,anguisity
apology,aployage
apology,apohlyage
apology,appalegye
apology,opplige
apparatus,aperatice
apparatus,apperatice
apparatus,apratiese
apparatus,eperats
appetite,apatiet
appetite,apatight
apple,abuol
appreciate,apreaseate
appreciate,apriciot
appreciate,eperseat
approximate,aprocsamate
approximately,aproxmetly
approximately,aproxmiatilly
article,artekal
ascertain,asurtane
attorney,aterna
attorney,eterany
attorney,eterny
attorneys,aternies
attorneys,atterinies
attorneys,aturnyes
auditorium,aduoteriam
auditorium,audaterame
auditorium,autatorom
auditorium,ottatorium
available,avalbal
available,avalball
available,avelbol
awful,aughfull
awful,eafall
beautiful,batfl
beautiful,beatefall
beautiful,beatyfool
beautiful,betafull
beautiful,betefull
beautiful,betfle
beautiful,betfol
beautiful,betfull
beautiful,betifoll
beautiful,betufel
beautiful,beuitifiel
beautiful,bieytful
beautiful,biutefell
beautiful,botfl
beautiful,botfol
beautiful,botfoll
beautiful,botifel
beautiful,boutfle
beautiful,boutyfull
beautiful,buedfall
beautiful,bueiteful
beautiful,bueityful
beautiful,buiteeful
beautiful,buiteful
beautiful,buitefull
beautiful,buitfoll
beautiful,buitful
beautiful,buitfull
beautiful,buitifull
beautiful,butefl
beautiful,butefole
beautiful,butefull
beautiful,butfle
beautiful,butfll
beautiful,butfull
beautiful,butifely
beautiful,butifill
beautiful,butufal
beautiful,buutivol
beautiful,potefl
beautiful,ptafil
beautiful,puteyful
beautiful,putfull
beg,pach
bicycle,basical
bicycle,bysical
biscuits,beuscutes
buried,bearraid
cancellation,cansaltion
cancellation,consalation
cancellation,consulation
cancelled,canssold
cancelled,consiled
cancelled,counciled
cancelled,counseled
cancelling,counciling
canvass,convice
capacity,cappst
capacity,copasatey
capacity,copusaty
capacity,cupasate
catalogues,cattallogs
catalogues,cotologous
catalogues,cotologs
cease,sciece
cease,scis
cease,siece
cease,sieze
ceased,seist
ceased,sieced
ceased,siezed
cemetery,cematrea
cemetery,semetree
cemetery,semitra
cemetery,semitrea
certain,sorton
certainly,sartenly
certainly,seartenlly
certainly,seartenly
certainly,sertenley
certainly,sertenlly
certainly,sertonley
certainly,sirtanley
certainly,sortenley
certainly,srtnly
certainly,surtenly
chemistry,cumastrey
chemistry,gymestry
circling,sergleing
collateral,caladral
collateral,clatreal
collateral,coledural
collateral,qualatirol
collateral,qualetteral
comfortable,comvertbly
committed,camdid
committed,cometad
committees,coometes
community,cumnete
comparatively,compareitivley
completion,commplishion
conditions,condishance
conscience,concenious
conscience,concinous
conscience,concionious
conscience,conciouns
conscience,consceinus
conscience,conscioness
conscience,consciouness
conscience,consiouns
conscientious,conciounetious
conscientious,consentise
conscious,conciouious
conscious,consuss
conscious,counisius
controversy,countirversay
convalescence,convelesans
correspondence,corrsopandance
countenance,countonanous
courteous,courtiese
courteous,curtace
courteous,curties
courteous,curtis
courteous,curtise
courteous,curtiss
courteous,curtiuss
courteous,curtuse
courtesies,corteouses
courtesies,corutussis
courtesies,courteousys
courtesies,croutsey's
courtesies,currtises
courtesies,curteoucys
courtesies,curteousys
courtesies,curtices
courtesies,curticys
courtesies,curtiousies
courtesies,curtiscis
courtesies,curtiseys
courtesies,curtoseys
courtesies,curtouseyes
courtesy,courteious
courtesy,courtious
criticism,courtesisum
criticism,cretacesum
criticism,critisizime
criticism,crittissisam
curiosity,couresoty
curiosity,couresty
curiosity,courisouty
curiosity,couroyousity
curiosity,curousatiy
curious,quearous
curious,queours
curious,quoreice
curtain,kerten
customary,costomarier
debit,dippite
deficiencies,defficenciy's
definite,deafnet
definite,deffenet
definite,defunnet
definite,dephenet
definite,diffent
definite,diffiant
definitely,deffenatly
definitely,deffentaily
definitely,diffinatly
definitely,diffineatily
definitely,diffinetly
definitely,diffintaly
deny,Deneigh
designed,desent
designed,dicind
designed,disend
designed,disinde
designed,diznd
determined,detrement
determined,detrumend
difference,difrans
different,deifrnt
difficulty,difcoulteye
disappeared,disoperd
disappointment,dissiapointmente
duly,dewelly
economical,acknomacail
economical,ecconnomicle
economical,ekanomakale
economics,equanomicks
ecstasy,exiticy
ecstasy,extace
ecstasy,extacee
ecstasy,extasee
ecstasy,extecy
ecstasy,extessey
ecstasy,exticy
ecstasy,extocy
ecstasy,extousy
efficiency,afficeance
elementary,alamenteria
elementary,elamentrie
elementary,elementtorray
elementary,ellomontry
embarrassed,embarast
embarrassed,embarest
embarrassed,embarrest
embarrassed,embarst
embarrassed,embbarrest
embarrassed,emparast
embarrassed,emprased
embarrassed,imbarist
enemy,ennamie
enquire,inger
enquire,ingurey
enquire,inqer
enquire,inqerh
enquire,inqoor
enthusiasm,entheseusem
enthusiasm,enthewseasem
enthusiasm,enthouseazem
enthusiasm,intheseasume
enthusiasm,inthisasam
enthusiasm,inthuseasium
enthusiastic,anthouseyastic
enthusiastic,enthousyastike
enthusiastic,inthoseastick
enthusiastic,inthosyastike
entrance,enterns
equally,eackily
equally,eaqely
equally,eaqll
equally,echwelly
equally,eclie
equally,ecwile
equally,ecwiley
equally,egale
equally,egle
equally,egley
equally,egwly
equally,ekwely
equally,eucuel
equipped,acwiped
equipped,aquipt
equipped,ecquipt
equipped,egwipt
equipped,eqept
equipped,eqiept
equipped,eqipt
equipped,equept
equipped,eqwipt
especially,asbasaly
especially,aspacelly
especially,aspeasly
especially,espaiesly
especially,espeasily
especially,espesely
especially,espesoly
especially,espiesaly
especially,espisely
exaggerate,agsagerate
exaggerate,exgareat
exceptionally,acceptionly
exceptionally,acseptionly
exceptionally,exepshanly
exceptionally,exepshinalley
exceptionally,exeptianly
exhibition,exabishion
exhibition,exabishon
exhibition,exapishon
exhibition,exbishion
exhibition,excibeashon
exhibition,exebechon
exhibition,exebishen
exhibition,exebishion
