correct_spelling,wrong_spelling
america,ameraca
american,ameracan
badcock's,badcock
cambridge,cambrige
canada,canda
chautauqua,chatacqua
chautauqua,chatacque
chautauqua,chataqua
chautauqua,chataque
chautauqua,chataukwa
chautauqua,chatocqua
chautauqua,chattakqua
chautauqua,chauetouequa
chautauqua,chautaqua
chautauqua,chautauchua
chautauqua,chautiqua
chautauqua,chautogqwa
chautauqua,chautqua
chautauqua,chawtakque
chautauqua,chawtawque
chautauqua,cheautauqua
chautauqua,chitaqua
chautauqua,chitauqua
chautauqua,quatauqua
chautauqua,shataqua
chautauqua,catauqua
chautauqua,chataqua
chautauqua,chatauqua
chautauqua,chautaucua
chautauqua,chautauqua
christ,crist
christmas,chrismas
christmas,christ_mas
christmas,christmis
christmas,cristmus
christmas,cristmas
cinderella,cinderrella
dec,des.
december,decmber
december,desember
dr,doc
dracula's,draculla's
dunstan's,dunstan
easter,ester
eastwood,estwood
english,ingish
english,inglish
feb,fab
february,febuary
french,franch
french,fench
french,freach
hallowe'en,hallowen
hitler,hitlar
i,has
i,iy
i,ld
i'd,i'de
i'd,i'ed
i'd,i'ld
i'll,ile
i'll,ill
i'm,i'me
i'm,i'n
i'm,im
i've,i'v
i've,iev
indians,indian's
ireland,irland
irish,iresh
january,januery
july,jaly
los_angeles,las_angles
luke's,luks
mediterranean,meditterranean
miss,mis
monday,munday
mr,mis
mrs,miss
mrs,mixss
mrs,mr's
mrs,mrss
october,octber
pyrenean,pyrannean
rolls,rowles
samaritan,samariton
saturday,saterday
saturday,satuarday
scots,scotts
sept,sep
september,septenber
september,septmber
sheba,shebre
spanish,spanich
sunday,sanday
swedish,sweedish
thames,thems
tuesday,tusday
victorian,vitiorian
wednesday,wensday
welsh,wesh
x-rays,exrays
a_bit,abit
a_few,afew
a_little,alitl
a_little,alittle
a_look,alook
a_lot,alot
a_lot,alote
a_museum,amusum
abattoir,abbatoir
abhorrence,abhorence
ability,abbility
ability,abilaty
ability,abillity
ability,abilty
ability,ablity
able,aball
able,abule
able-bodied,able_bodied
about,a_belt
about,a_bot
about,a_bout
about,a_but
about,aboat
about,aboit
about,abont
about,aboo
about,abot
about,abote
about,abou
about,abought
about,abould
about,abowt
