correct_spelling,wrong_spelling
america,amercia
april,apirl
austrian,austrain
christian,christain
february,feburary
friday,firday
mayfield,mayfeild
tuesday,teusday
tuesday,tuseday
wednesday,wedensday
able,abel
about,abuot
abroad,abraod
absolutely,absolutley
accede,acceed
accident,accdient
accrued,accrude
accrued,accured
accurately,accruately
accustomed,accostumed
achieve,acheive
achieved,acheived
achievement,acheivement
acknowledgement,acknowlegdement
acknowledgement,ackownledgement
acquaintance,acquantiance
acquaintance,acquiantance
acre,acer
adequate,adequeat
aeroplane,areoplane
aeroplane,aroeplane
aeroplane,earoplane
affectionately,affectionatley
affidavit,affadivit
affidavit,affidivat
afraid,afriad
after,afert
again,agian
against,agianst
aged,adge
agencies,agenices
agents,agenst
ahead,ahade
also,aslo
altimeter,altemiter
altimeter,altimetre
altimeter,atlimeter
altitude,altitued
alumni,alumin
amateur,amatuer
amiable,aimable
analysis,analisys
analysis,anaylsis
analysis,anlaysis
ancient,anceint
angels,angles
ankle,ankel
anniversary,annaversiry
annoyance,anonyance
annoyance,anoynance
annum,anumn
answer,anserw
answer,ansrew
answer,anwers
answer,anwser
answer,asnwer
answer,awnser
anxiety,anexity
anxiety,aniexty
anxious,anixous
apparatus,appartaus
apparent,apperant
apparent,appreant
apparently,apparntely
appetite,apeptite
appetite,appitete
apple,alppe
apple,aplep
apple,appel
approach,appraoch
appropriate,apporpriate
appropriate,appropirate
approximate,approxamite
approximate,approxiamte
approximately,appromixately
approximately,approxmiately
are,rae
ascertained,acsertained
asphalt,ashpalt
associated,assocaited
asthma,athsma
ate,aet
attaching,atatching
attorneys,attornyes
auditorium,audiortium
aunt,anut
available,avalaible
available,avaliable
avenue,aveune
avoid,aviod
aware,awear
away,awya
awful,awufl
bankruptcy,bankrucpty
bargaining,baragining
barrel,barrle
base,beas
basically,baiscally
beautiful,baeutiful
beautiful,beauitful
beautiful,bueatiful
beauty,bueaty
because,becaues
before,befoer
before,berofe
being,bieng
belief,beleif
belief,belife
believe,beleive
believed,beleived
beneath,beaneth
beneficial,benecifial
beneficial,benifecial
best,bets
bible,bibel
bicycle,biclyce
bicycle,bicycel
bicycle,bicylce
bicycle,bycicle
bicycles,bycicles
bird,brid
birds,brids
birthday,brithday
biscuits,bisciuts
biscuits,biscusti
blue,bleu
blue,bule
bored,borde
born,bron
bottle,bottel
bread,brade
bridge,birdge
bridge,brigde
brief,breif
britain,britian
brought,brougth
build,biuld
building,biulding
built,biult
bulletin,bulliten
bundle,bundel
buoyancy,bouyancy
buoyant,bouyant
buried,buired
burn,brun
burned,bruned
bushel,bushle
business,buisness
cake,ckea
candle,candel
cannot,cannto
capacity,capaicty
captain,captian
care,cear
catalogues,catalouges
cattle,cattel
cease,seace
ceased,seaced
ceiling,cieling
cemetery,cemetrey
certain,certian
certificate,certifacite
chair,chiar
changing,chnaging
chapel,chaple
chauffeur,chauffuer
chemistry,chemsitry
chief,cheif
choir,chior
choose,cheoos
circling,cirlcing
circling,crciling
clear,claer
client,cleint
cloth,colth
collapsed,collasped
collateral,colelatral
collateral,collatarel
colonel,colneol
committees,commetties
communicate,comminucate
communicate,communciate
comparatively,compariatvely
comparatively,comparitavely
comparisons,compariosns
completion,compeltion
conceive,concieve
conceived,concieved
conclude,conclued
conditions,condistion
conditions,conditoins
congratulations,congralutations
congratulations,congratalutions
conscience,conciences
conscience,concsience
conscience,consceince
conscience,consicence
conscientious,conscietinous
continuous,contunious
conveniently,conivenently
conveniently,conveinently
conveniently,convienently
corn,cron
countenance,countanence
courtesies,courseties
courtesy,coursety
courtesy,courtsey
cradle,cradel
cricket,creckit
cried,cride
criticism,critisicm
crossing,corssing
curiosity,courisity
curiosity,curisioty
curious,curoius
curtain,curtian
curtains,curtians
customary,costumary
customary,custamory
customer's,costumer's
customer's,customers'
damaged,damadge
dangerous,dangrouse
dark,drak
date,deat
debit,dibet
deceive,decieve
dedicated,dedciated
delivered,delieverd
designed,desinged
deuce,duece
diamond,daimond
didn't,did'nt
died,deid
died,dide
direction,directoin
dirt,drit
disaggregate,disaggreagte
disappoint,disappiont
disappointment,disappiontment
discretion,descrition
ditch,dicth
dodged,dogded
done,doen
done,odne
dormitory,dorimtory
down,donw
down,dwon
drift,dirft
driven,dirven
driven,divern
drum,durm
eastern,eastren
economic,ecomonic
economical,eaconomicl
economical,ecomonical
economical,econcomial
economics,ecomonics
edge,egde
edge,eged
efficiency,efficeincy
elementary,elemantery
employees,employese
employees,empolyees
employer,empolyer
employment,empolyment
enemies,emenies
enemy,emeny
enemy,enmey
engine,engein
engine,enigne
engineers,egnineers
enquire,enquier
enthusiasm,enthuasism
enthusiasm,enthusasim
enthusiastic,inthuseastic
entirely,entierly
entry,netry
epistle,epislte
epistle,epistel
equally,eqaully
equivalent,equivelant
especially,espeacilly
especially,especailly
especially,espeically
especially,espiecally
establishing,asteblishing
etc,ect
every,evrey
exactly,excatly
examination,examiantion
exceed,excede
exhibition,exibhition
exists,exsist
exists,exsits
experience,expeirence
experience,expierence
explained,eixplaned
express,experss
extraordinary,extarordinary
extraordinary,extroardinary
extremely,extreemly
fairy,fariy
false,fales
family,famliy
fascinating,facisnating
field,feild
field,filde
field,filed
field,flied
fielder,fiedler
fields,fileds
fierce,feirce
fiery,firey
fight,figth
fight,ftigh
fighting,figthing
film,flim
financially,finanically
financially,finiancally
fire,fier
fire,frie
firstly,fisrtly
flexibility,felxibility
flight,filght
flourishes,fluorishes
folk,fokl
folly,floly
foreign,foriegn
forgot,frogot
form,fomr
formed,fromed
fountain,fountian
freezing,frezeing
freight,frieght
friend,firend
friend,freind
friend,frenid
friend,frined
friendly,freindly
friends,firends
friends,freinds
friends,frindes
friends,frineds
friendship,freindship
frog,forg
frost,forst
fruit,friut
fruit,fuirt
fruit,furit
fuel,fule
further,furhter
gallery,gallrey
gallery,garlley
galloped,gollaped
galvanized,galvanzied
galvanized,galvinazed
gauge,guage
gears,gares
genius,genuis
gentle,gentel
gentleman,gentelman
gentlemen,gentelmen
geometry,gemeotry
geometry,geomtery
giant,gaint
girl,gril
girls,grils
goes,gose
golden,gloden
gorgeous,georgous
gorgeous,goregous
gorgeous,gorgouse
grade,gread
gradually,graadully
gradually,gradullay
grandeur,granduer
grateful,greatful
great,geart
great,graet
greater,gretaer
greatly,grately
grief,greif
grieve,greive
guarantee,garanutee
guarantee,garauntee
guarantee,garuantee
guarantee,gaurantee
guaranteed,garaunteed
guaranteed,garuanteed
guaranteed,gauranteed
guard,gaurd
guardian,gaurdian
guardian,guardain
guarding,gaurding
guards,gaurds
guildhall,giuldhall
hair,hiar
half,hlaf
handle,handel
happiest,happeist
hardware,hardwear
head,haed
headmistress,headmisstres
heavy,havey
hedge,hegde
height,heigth
height,hieght
heightened,hieghtened
heinous,hienous
here,hree
herself,herslef
hierarchy,heirarchy
history,histroy
holiday,hoilday
homely,homley
honest,hoenst
horse,hores
hose,hoes
hotel,hotle
house,houes
hundred,hunderd
hygiene,hygeine
idle,idel
illustration,illustartion
imagination,imaginaiton
immediately,immediatley
immensely,immensley
important,importnat
incident,incedint
incidentally,incedintally
include,inclued
inconceivable,inconcievable
inconvenience,inconveinence
inconvenience,inconveneince
inconvenience,inconvienence
inconvenient,inconvienent
indian,indain
individual,individula
inevitably,ineviatbly
influence,infulence
information,infromation
initials,initails
innocent,inoncent
instruments,instrumenst
instruments,instrusment
instruments,insturments
interest,insteret
