correct_spelling,wrong_spelling,symspell_correction,bert_correction,lstm_cnn_correction
chautauqua,chataukowa,chataukowa,chataukowa,chataukowa
chautauqua,chatauwkwa,chatauwkwa,chatauwkwa,chatauwkwa
chautauqua,chatogua,chatogua,catalogue,chatogua
chautauqua,chatuaca,chatuaca,chatuaca,chatuaca
chautauqua,chatwakwa,chatwakwa,chatwakwa,chatwakwa
chautauqua,chautakye,chautakye,chautakye,chautakye
chautauqua,chetdacowa,chetdacowa,chetdacowa,chetdacowa
chautauqua,chetoquoi,chetoquoi,chetoquoi,chetoquoi
chautauqua,chitacque,chitacque,chitacque,chitacque
chautauqua,chitoqua,chitoqua,chitoqua,chitoqua
chautauqua,chittiqua,chittiqua,chittiqua,chittiqua
chautauqua,chottago,cottage,chottago,chottago
chautauqua,chuatuaque,chuatuaque,critique,chuatuaque
chautauqua,chutouko,chutouko,chutouko,chutouko
chautauqua,schtaka,shaka,schtaka,schtaka
chautauqua,shatacua,shatacua,shatacua,shatacua
chautauqua,shatakiwa,shatakiwa,shatakiwa,shatakiwa
chautauqua,shawtachwa,shawtachwa,shawtachwa,shawtachwa
chautauqua,shitaka,sitka,shitaka,shitaka
chautauqua,showtucwa,showtucwa,showcase,showtucwa
chautauqua,chatacuia,chatacuia,chatacuia,chatacuia
chautauqua,chataque,chataque,chateaux,chataque
chautauqua,chetickway,chetickway,chetickway,chetickway
chautauqua,chitacwa,chitacwa,chitacwa,chitacwa
chautauqua,chitiquea,critique,chitiquea,chitiquea
chautauqua,chituaquea,chituaquea,chituaquea,chituaquea
chautauqua,shatakwa,shatakwa,shatakwa,shatakwa
pekinese,pikaness,likeness,pikaness,pikaness
accident,exiedent,evident,accident,accident
accordance,acaurtens,acaurtens,accounts,acaurtens
accordance,acordens,acorns,recorded,actors
accordance,acordounse,acordounse,accordance,acordounse
accordance,acorrdens,acorrdens,recorded,acorrdens
accrued,acroude,crude,across,acroude
acknowledgement,acnologement,acnologement,acknowledgement,acnologement
acknowledging,acknolgeing,acknolgeing,acknowledging,acknowledging
acknowledging,ecnuliging,ecnuliging,ecnuliging,ecnuliging
acknowledging,egnoliging,egnoliging,egnoliging,egnoliging
acquaintance,accountance,accountancy,accountancy,accountancy
acquaintance,accuntence,accuntence,acquaintance,acceptance
acquaintance,acqunatince,acqunatince,acquaintance,acquaintance
acquaintance,aquantience,aquantience,acquaintance,aquantience
acquaintance,aquentence,aquentence,accordance,aquentence
acre,accour,account,account,occur
actually,accotly,accotly,actually,actually
actually,acwtly,acetyl,actually,slowly
adequate,adccuet,adccuet,accused,adequate
adequate,addiequiet,addiequiet,adequate,adequate
adequate,addiquit,addiquit,adequate,adequate
adequate,adgat,adult,about,adgat
adequate,atiquit,antiquity,adequate,adequate
adequate,attaquit,attaquit,adequate,attaquit
adequate,atuqut,tuque,atuqut,atuqut
adequate,ediquet,piquet,adequate,adequate
adequate,ediquit,ediquit,adequate,liquidity
adequate,ediquitt,ediquitt,adequate,adequate
adequate,etiquit,etiquit,etiquette,equity
aeroplane,aira_plan,aira_plan,aira _ plan,airplane
aeroplane,ereplun,ereplun,problem,ereplun
affectionately,efectiontily,efectiontily,effectively,efficiently
affectionately,effectiantly,effectiantly,effectiantly,efficiently
affidavit,affi_david,affidavit,affi _ david,affidavit
affidavit,afi_david,afi_david,afi _ david,affidavit
affidavit,afadavate,afadavate,affidavit,affidavit
affidavit,afadaviate,afadaviate,afadaviate,affidavit
affidavit,afadavide,afadavide,affidavit,affidavit
affidavit,afadivite,afadivite,affidavit,affidavit
affidavit,afaedaviate,afaedaviate,afaedaviate,affidavit
affidavit,afedaved,afedaved,aggrieved,affidavit
affidavit,affadivate,affadivate,affidavit,affidavit
affidavit,afidefed,afidefed,affected,affidavit
affidavit,afodivid,afodivid,avoided,affidavit
affidavit,aphadavet,aphadavet,affidavit,aphadavet
affidavit,aphadavid,aphadavid,aphadavid,aphadavid
affidavit,aphadivode,aphadivode,aphadivode,aphadivode
affidavit,aphedavid,aphedavid,aphedavid,aphedavid
affidavit,avadavate,avadavate,affidavit,avadavate
alfalfa,alphalpha,alphalpha,alphalpha,alpha
all_right,all-ready,already,all - ready,all - ready
allowed,oloud,cloud,allowed,cloud
although,allthow,allow,although,although
altitude,alteytod,alteytod,alerted,alteytod
amiable,aimabial,bilabial,minimal,aimabial
amiable,aimeuball,aimeuball,aimeuball,aimeuball
amiable,imapeal,impel,immoral,imapeal
analysis,anallausus,anallausus,analysis,anallausus
analysis,anlices,alice,analysis,analyses
analysis,annalisous,annalisous,analysis,analysis
analysis,annalizes,annualized,analysis,analysis
analysis,anneylesses,anneylesses,anneylesses,anneylesses
analysis,annlazes,annlazes,analyzes,analysis
anniversary,anaversarie,anaversarie,anniversary,anaversarie
anniversary,aneversere,aneversere,everywhere,anywhere
anniversary,annaverserie,annaverserie,anniversaries,anniversaries
anniversary,annevarcery,annevarcery,anniversary,anniversary
annoyance,announs,announce,announced,announced
annoyance,anoianes,anoints,nominees,anoianes
annoyance,anoines,anoints,anyone,airlines
annoyance,anoynas,annas,anonymous,anoynas
annoyance,enoience,sentience,evidence,enoience
annoyance,enoince,engine,evidence,renounce
annoyance,unoiense,unoiense,unlicensed,unoiense
anticipate,antisapait,antisapait,antisapait,anticipate
anticipate,antisapt,antisapt,antisapt,antisapt
anticipate,entesepate,entesepate,entesepate,entesepate
anxiety,angseit,angst,anxiety,angseit
anxiety,angsyity,angsyity,anxiety,anxiety
anxiety,anguisity,anguisity,anxiety,anguisity
apology,aployage,aployage,employees,apology
apology,apohlyage,apohlyage,applause,apohlyage
apology,appalegye,appalegye,applause,appellate
apology,opplige,oblige,oblige,apology
apparatus,aperatice,operative,operative,operative
apparatus,apperatice,apprentice,apprentice,operative
apparatus,apratiese,apratiese,approaches,apratiese
apparatus,eperats,experts,experts,operates
appetite,apatiet,apatite,patient,appetite
appetite,apatight,airtight,appetite,apatight
apple,abuol,about,about,about
appreciate,apreaseate,apreaseate,appreciate,appreciate
appreciate,apriciot,apricot,apricot,application
appreciate,eperseat,eperseat,interest,experiment
approximate,aprocsamate,aprocsamate,approximate,aprocsamate
approximately,aproxmetly,aproxmetly,approximately,approximately
approximately,aproxmiatilly,aproxmiatilly,approximately,aproxmiatilly
article,artekal,arsenal,article,article
ascertain,asurtane,asurtane,assurance,asurtane
attorney,aterna,arena,aterna,attorney
attorney,eterany,veterans,attorney,attorney
attorney,eterny,every,attorney,attorney
attorneys,aternies,arteries,aternies,attorneys
attorneys,atterinies,atterinies,attorneys,attorneys
attorneys,aturnyes,aturnyes,returned,attorneys
auditorium,aduoteriam,aduoteriam,aduoteriam,aduoteriam
auditorium,audaterame,audaterame,audaterame,audaterame
auditorium,autatorom,autatorom,autatorom,autatorom
auditorium,ottatorium,natatorium,ottatorium,ottatorium
available,avalbal,avalbal,available,available
available,avalball,avalball,available,available
available,avelbol,avelbol,available,available
awful,aughfull,aughfull,hopefully,aughfull
awful,eafall,fall,awful,awful
beautiful,batfl,ball,beautiful,batfl
beautiful,beatefall,beatefall,baseball,beatefall
beautiful,beatyfool,beatyfool,basketball,beatyfool
beautiful,betafull,betafull,beautifully,betafull
beautiful,betefull,betefull,beautiful,beautiful
beautiful,betfle,battle,beautiful,brittle
beautiful,betfol,petrol,beautiful,beautiful
beautiful,betfull,befall,beautiful,beautiful
beautiful,betifoll,betifoll,beautiful,beautiful
beautiful,betufel,bethel,beautiful,beautiful
beautiful,beuitifiel,beuitifiel,qualified,beuitifiel
beautiful,bieytful,bieytful,beautiful,beautiful
beautiful,biutefell,biutefell,beautifully,biutefell
beautiful,botfl,botel,beautiful,football
beautiful,botfol,bottom,beautiful,football
beautiful,botfoll,botfoll,beautiful,football
beautiful,botifel,botel,modified,botifel
beautiful,boutfle,bottle,beautiful,boutfle
beautiful,boutyfull,boutyfull,beautifully,boutyfull
beautiful,buedfall,befall,baseball,buedfall
beautiful,bueiteful,bueiteful,beautiful,beautiful
beautiful,bueityful,bueityful,beautiful,beautiful
beautiful,buiteeful,buiteeful,beautiful,beautiful
beautiful,buiteful,spiteful,beautiful,beautiful
beautiful,buitefull,buitefull,beautiful,buitefull
beautiful,buitfoll,buitfoll,beautiful,buitfoll
beautiful,buitful,fruitful,beautiful,beautiful
beautiful,buitfull,buitfull,beautiful,beautiful
beautiful,buitifull,buitifull,beautifully,buitifull
beautiful,butefl,butyl,beautiful,beautiful
beautiful,butefole,butefole,beautiful,butefole
