correct_spelling,wrong_spelling,symspell_correction,bert_correction,lstm_cnn_correction
bechuanaland,bechuarnia_land,bechuarnia_land,bechuarnia _ land,bechuarnia_land
botswana,botuania,botanic,botuania,botuania
chautauqua,chactuquoe,chactuquoe,chactuquoe,chactuquoe
chautauqua,chalktwa,chalktwa,chalktwa,chalktwa
chautauqua,chaqua,aqua,chaqua,chaqua
chautauqua,chata,chat,chat,chat
chautauqua,chatalkwa,chatalkwa,chatalkwa,chatalkwa
chautauqua,chatoukouv,chatoukouv,chatoukouv,chatoukouv
chautauqua,chauta,chat,chauta,chauta
chautauqua,chicahwa,chicana,chicahwa,chicahwa
chautauqua,chictocua,chictocua,chictocua,chictocua
chautauqua,chicugta,chiquita,chocolate,chicugta
chautauqua,chistupa,chistupa,chistupa,chistupa
chautauqua,chitalka,chitalka,chitalka,chitalka
chautauqua,chitalkwa,chitalkwa,chitalkwa,chitalkwa
chautauqua,chochatta,chochatta,chocolate,chochatta
chautauqua,chouativa,chouativa,creative,chouativa
chautauqua,chtacu,chaco,accuracy,contact
chautauqua,chuatackqua,chuatackqua,chuatackqua,chuatackqua
chautauqua,chuatuaton,chuatuaton,quotation,chuatuaton
chautauqua,chutaciqwa,chutaciqwa,chutaciqwa,chutaciqwa
chautauqua,cuhtawa,cutaway,cuhtawa,cuhtawa
chautauqua,shautalkwa,shautalkwa,shautalkwa,shautalkwa
chautauqua,shawtapwa,shawtapwa,shawtapwa,shawtapwa
chautauqua,shawtowa,shawtowa,shawtowa,shawtowa
chautauqua,sheto,she,sheto,shot
chautauqua,showtalkaw,showtalkaw,showtalkaw,showtalkaw
chautauqua,showtalkwa,showtalkwa,showtalkwa,showtalkwa
chautauqua,chacactur,character,character,character
chautauqua,chatauchuia,chatauchuia,chatauchuia,chatauchuia
chautauqua,chictique,critique,critique,chictique
chautauqua,chtoawa,chtoawa,chtoawa,chtoawa
chautauqua,sechectaquka,sechectaquka,sechectaquka,sechectaquka
chautauqua,shtalkwa,shtalkwa,shtalkwa,shtalkwa
chautauqua,sutalkway,sutalkway,stowaway,sutalkway
february,feburay,february,library,feburay
french,feirne,ferne,french,feirne
philip's,perllips,phillips,perllips,perllips
wednesday,wdendsdy,wdendsdy,overdue,wdendsdy
about,a_pelt,aspect,a _ pelt,about
about,arand,brand,about,about
about,urbote,wrote,about,about
above,a_barth,barth,a _ barth,above
above,a_beyied,a_beyied,a _ beyied,a_beyied
above,a_bother,another,a _ bother,another
above,a_buth,auth,a _ buth,above
above,abaeth,bath,above,abaeth
above,buft,but,above,left
above,upbudh,upbudh,above,upbudh
above,urborth,urborth,above,urborth
absorbed,abo,ago,about,no
abstract,abse,able,abstract,also
absurd,abeserbed,absorbed,absurd,abeserbed
absurd,absevered,severed,absurd,absurd
absurd,apserved,reserved,observed,observed
absurd,apubed,abused,absorbed,apubed
acceptable,acksecetable,acksecetable,acceptable,acceptable
acceptable,actsepterable,actsepterable,acceptable,actsepterable
acceptable,exactible,exactible,acceptable,exactible
acceptable,exceptial,exception,exceptional,exceptional
acceptable,exsaptible,exsaptible,acceptable,exsaptible
acceptable,exsestible,exsestible,acceptable,exsestible
accepted,execpted,executed,accepted,accepted
accident,a_canet,arcane,a _ canet,a_canet
accident,acats,acts,accident,acats
accident,acedcedt,acedcedt,accident,accident
accident,acist,racist,racism,racist
accident,acs,as,as,as
accident,advainet,advainet,accident,cabinet
accident,afanat,arafat,afanat,afanat
accident,agisted,listed,arrested,assisted
accident,aken,taken,taken,taken
accident,andandn,andaman,abandon,and
accident,andet,andes,accident,any
accident,andexns,indexes,handguns,andexns
accident,andint,anoint,ancient,andint
accident,andires,andres,endured,endures
accident,anitharent,anitharent,accident,anitharent
accident,anteght,anteght,insight,eight
accident,asabed,asked,assembled,asabed
accident,asadun,abadan,asadun,asadun
accident,ascended,ascended,ascended,ascended
accident,asde,aside,aside,aside
accident,asden,aspen,aside,added
accident,ased,used,based,based
accident,asedend,ascend,accident,accident
accident,askendent,ascendent,accident,accident
