correct_spelling,wrong_spelling,symspell_correction,bert_correction,lstm_cnn_correction
America,ameraca,america,america,america
American,ameracan,american,american,american
Badcock's,badcock,hancock,badcock,badcock
Cambridge,cambrige,cambridge,cambridge,cambrige
Canada,canda,canada,candy,candy
Chautauqua,chatacqua,chautauqua,chatacqua,chatacqua
Chautauqua,chatacque,chatacque,physique,chatacque
Chautauqua,chataqua,chautauqua,chataqua,chataqua
Chautauqua,chataque,chataque,chateaux,chataque
Chautauqua,chataukwa,chataukwa,chataukwa,chataukwa
Chautauqua,chatocqua,chatocqua,chatocqua,chatocqua
Chautauqua,chattakqua,chautauqua,chattakqua,chattakqua
Chautauqua,chauetouequa,chauetouequa,chauetouequa,chauetouequa
Chautauqua,chautaqua,chautauqua,chautaqua,chautaqua
Chautauqua,chautauchua,chautauqua,chautauchua,chautauchua
Chautauqua,chautiqua,chautauqua,chautiqua,chautiqua
Chautauqua,chautogqwa,chautogqwa,chautogqwa,chautogqwa
Chautauqua,chautqua,chautauqua,chautqua,chautqua
Chautauqua,chawtakque,chawtakque,chawtakque,earthquake
Chautauqua,chawtawque,chawtawque,chawtawque,chawtawque
Chautauqua,cheautauqua,chautauqua,cheautauqua,cheautauqua
Chautauqua,chitaqua,chitaqua,chitaqua,chitaqua
Chautauqua,chitauqua,chautauqua,chitauqua,chitauqua
Chautauqua,quatauqua,quatauqua,quatauqua,quatauqua
Chautauqua,shataqua,shataqua,shataqua,shataqua
Chautauqua,catauqua,chautauqua,catauqua,catauqua
Chautauqua,chataqua,chautauqua,chataqua,chataqua
Chautauqua,chatauqua,chautauqua,chatauqua,chatauqua
Chautauqua,chautaucua,chautauqua,chautaucua,chautaucua
Chautauqua,chautauqua,chautauqua,chautauqua,chautauqua
Christ,crist,christ,crisis,crisis
Christmas,chrismas,christmas,charisma,chrismas
Christmas,christ_mas,christmas,cherish _ has,christ_mas
Christmas,christmis,christmas,christmis,christmis
Christmas,cristmus,christmas,cristmus,cristmus
Christmas,cristmas,christmas,Christmas,cristmas
Cinderella,cinderrella,cinderella,mozzarella,cinderrella
Dec,des.,desk,does .,does .
December,decmber,december,december,dumber
December,desember,december,december,desember
Dr,doc,doc,back,back
Dracula's,draculla's,draculla's,draculla ' s,draculla 's
Dunstan's,dunstan,dunstan,dunstan,dunstan
Easter,ester,ester,Easter,water
Eastwood,estwood,eastwood,redwood,estwood
English,ingish,english,finish,ingish
English,inglish,english,english,english
Feb,fab,fab,fab,fab
February,febuary,february,obituary,febuary
French,franch,france,franchise,frank
French,fench,french,fence,fench
French,freach,french,breach,fresh
Hallowe'en,hallowen,halloween,hallowed,hallowen
Hitler,hitlar,hitler,build,hitlar
I,has,has,has,has
I,iy,in,by,it
I,ld,old,ld,old
I'd,i'de,i've,I ' d,side
I'd,i'ed,iced,I ' ed,did
I'd,i'ld,i'd,I ' ld,would
I'll,ile,file,like,ice
I'll,ill,ill,ill,will
I'm,i'me,i've,I ' me,same
I'm,i'n,in,I ' m,in
I'm,im,in,if,I the
I've,i'v,inv,I ' ve,you
I've,iev,rev,even,it
Indians,indian's,indians,indian ' s,indian 's
Ireland,irland,island,ireland,island
Irish,iresh,fresh,fresh,fresh
January,januery,january,januery,januery
July,jaly,july,only,may
Los_Angeles,las_angles,las_angles,last _ angles,las_angles
Luke's,luks,luke,looks,looks
Mediterranean,meditterranean,mediterranean,Mediterranean,meditterranean
Miss,mis,is,his,his
Monday,munday,monday,munday,muddy
Mr,mis,is,his,his
Mrs,miss,miss,miss,miss
Mrs,mixss,miss,mixes,mixes
Mrs,mr's,mrs,mr ' s,or 's
Mrs,mrss,mass,miss,mass
October,octber,october,october,octber
Pyrenean,pyrannean,pyrannean,pyrannean,pyrannean
Rolls,rowles,roles,rolls,rolls
Samaritan,samariton,samaritan,sanitation,samariton
Saturday,saterday,saturday,yesterday,yesterday
Saturday,satuarday,saturday,squarely,satuarday
Scots,scotts,scott,scotts,shoots
Sept,sep,sep,step,set
September,septenber,september,september,septenber
September,septmber,september,september,septmber
Sheba,shebre,there,shebre,shebre
Spanish,spanich,spanish,spanich,spinach
Sunday,sanday,sunday,sanday,scandal
Swedish,sweedish,swedish,swordfish,sweedish
Thames,thems,them,these,themes
Tuesday,tusday,tuesday,today,tusday
Victorian,vitiorian,victorian,victories,vitiorian
Wednesday,wensday,wednesday,Wednesday,wensday
Welsh,wesh,west,wish,wish
X-rays,exrays,essays,express,serious
a_bit,abit,bit,abit,bit
a_few,afew,few,after,after
a_little,alitl,all,also,all
