correct_spelling,wrong_spelling,symspell_correction,bert_correction,lstm_cnn_correction
america,amercia,america,anorexia,amercia
april,apirl,april,spill,apirl
austrian,austrain,austrian,constrain,austrain
christian,christain,christian,christian,christian
february,feburary,february,funerary,feburary
friday,firday,friday,first,firday
mayfield,mayfeild,hayfield,mayfeild,mayfeild
tuesday,teusday,tuesday,Thursday,teusday
tuesday,tuseday,tuesday,today,tuseday
wednesday,wedensday,wednesday,Wednesday,weekday
able,abel,abel,label,able
about,abuot,about,about,about
abroad,abraod,abroad,abroad,abroad
absolutely,absolutley,absolutely,absolutely,absolutely
accede,acceed,accede,accede,achieved
accident,accdient,accident,accident,accident
accrued,accrude,accrued,accolades,accrued
accrued,accured,accused,accused,accused
accurately,accruately,accurately,accurately,accurately
accustomed,accostumed,accustomed,accostumed,accustomed
achieve,acheive,achieve,achieve,achieve
achieved,acheived,achieved,achieved,achieved
achievement,acheivement,achievement,achievement,achievement
acknowledgement,acknowlegdement,acknowledgement,acknowledgement,acknowledgement
acknowledgement,ackownledgement,acknowledgement,acknowledgement,acknowledgement
acquaintance,acquantiance,acquaintance,acquaintance,acquaintance
acquaintance,acquiantance,acquaintance,acquaintance,acquaintance
acre,acer,ace,ever,over
adequate,adequeat,adequate,adequate,adequate
aeroplane,areoplane,aeroplane,aeroplane,aeroplane
aeroplane,aroeplane,aeroplane,airplane,aeroplane
aeroplane,earoplane,aeroplane,airplane,aeroplane
affectionately,affectionatley,affectionately,affectionately,affectionately
affidavit,affadivit,affidavit,affidavit,affidavit
affidavit,affidivat,affidavit,affidavit,affidavit
afraid,afriad,afraid,afraid,afraid
after,afert,alert,after,after
again,agian,again,again,again
against,agianst,against,against,against
aged,adge,age,age,age
agencies,agenices,agencies,agencies,agencies
agents,agenst,agent,against,agents
ahead,ahade,shade,ahead,ahead
also,aslo,also,for,for
altimeter,altemiter,altimeter,ultimately,altemiter
altimeter,altimetre,altimeter,altimetre,all-time
altimeter,atlimeter,altimeter,atlimeter,atlimeter
altitude,altitued,altitude,altitude,altitude
alumni,alumin,alumni,alumina,alumni
amateur,amatuer,amateur,amateur,amateur
amiable,aimable,amiable,amiable,amiable
analysis,analisys,analysis,analyses,analysis
analysis,anaylsis,analysis,analysis,analysis
analysis,anlaysis,analysis,analysis,analysis
ancient,anceint,ancient,ancient,ancient
angels,angles,angles,angles,angles
ankle,ankel,angel,ankle,ankle
anniversary,annaversiry,anniversary,anniversary,anniversary
annoyance,anonyance,annoyance,annoyance,anyone
annoyance,anoynance,annoyance,annoyance,annoyance
annum,anumn,anime,autumn,animal
answer,anserw,answer,answer,answers
answer,ansrew,andrew,answer,answer
answer,anwers,answers,answers,answers
answer,anwser,answer,answer,answer
answer,asnwer,answer,answer,answer
answer,awnser,answer,answer,answer
anxiety,anexity,anxiety,anxiety,anxiety
anxiety,aniexty,anxiety,anxiety,anxiety
anxious,anixous,anxious,anxious,anixous
apparatus,appartaus,apparatus,apparatus,apparatus
apparent,apperant,apparent,apparent,apparent
apparent,appreant,apparent,apparent,apparent
apparently,apparntely,apparently,apparently,apparently
appetite,apeptite,appetite,appetite,appetite
appetite,appitete,appetite,appetite,appetite
apple,alppe,apple,apple,apple
apple,aplep,able,apple,apple
apple,appel,appel,appeal,apple
approach,appraoch,approach,approach,approach
appropriate,apporpriate,appropriate,appropriate,appropriate
appropriate,appropirate,appropriate,appropriate,appropriate
approximate,approxamite,approximate,approximate,approximate
approximate,approxiamte,approximate,approximate,approximate
approximately,appromixately,approximately,approximately,approximately
approximately,approxmiately,approximately,approximately,approximately
are,rae,rae,race,are
ascertained,acsertained,ascertained,ascertained,acsertained
asphalt,ashpalt,asphalt,asphalt,asphalt
associated,assocaited,associated,associated,associated
asthma,athsma,asthma,asthma,asthma
ate,aet,aet,aet,set
attaching,atatching,attaching,attaching,watching
attorneys,attornyes,attorneys,attorneys,attorneys
auditorium,audiortium,auditorium,audiortium,auditorium
aunt,anut,nut,about,about
available,avalaible,available,available,available
available,avaliable,available,available,available
avenue,aveune,avenue,avenue,avenue
avoid,aviod,avoid,avoid,avoid
aware,awear,wear,aware,swear
away,awya,away,awya,away
awful,awufl,awful,awful,awful
bankruptcy,bankrucpty,bankruptcy,bankruptcy,bankruptcy
bargaining,baragining,bargaining,bargaining,bargaining
barrel,barrle,barrel,barely,barrel
base,beas,bear,beats,base
basically,baiscally,basically,basically,basically
beautiful,baeutiful,beautiful,beautiful,beautiful
beautiful,beauitful,beautiful,beautiful,beautiful
beautiful,bueatiful,beautiful,beautiful,beautiful
beauty,bueaty,beauty,beauty,beauty
because,becaues,because,because,because
before,befoer,before,before,before
before,berofe,before,before,before
being,bieng,being,being,being
belief,beleif,belief,belief,belief
belief,belife,belief,belief,belief
believe,beleive,believe,believe,believe
believed,beleived,believed,believed,believed
beneath,beaneth,kenneth,beneath,beneath
beneficial,benecifial,beneficial,beneficial,beneficial
beneficial,benifecial,beneficial,beneficial,beneficial
best,bets,bets,bets,bets
bible,bibel,bible,bible,bible
bicycle,biclyce,bicycle,because,bicycle
bicycle,bicycel,bicycle,bicycle,bicycle
bicycle,bicylce,bicycle,because,bicycle
bicycle,bycicle,bicycle,bicycle,bicycle
bicycles,bycicles,bicycles,bicycles,bicycles
bird,brid,bid,bride,bird
birds,brids,bids,birds,brings
birthday,brithday,birthday,birthday,birthday
biscuits,bisciuts,biscuits,biscuits,biscuits
biscuits,biscusti,biscuits,biscuits,biscusti
blue,bleu,blue,bleu,blue
blue,bule,blue,built,blue
bored,borde,border,border,border
born,bron,brown,brown,brown
bottle,bottel,bottle,bottled,bottled
bread,brade,trade,bread,grade
bridge,birdge,bridge,bridge,bridge
bridge,brigde,bridge,bridge,bridge
brief,breif,brief,brief,brief
britain,britian,britain,britian,britian
brought,brougth,brought,brought,brought
build,biuld,build,build,build
building,biulding,building,building,building
built,biult,built,built,built
bulletin,bulliten,bulletin,bulletin,bulliten
bundle,bundel,bundle,bundled,bundled
buoyancy,bouyancy,buoyancy,buoyancy,buoyancy
buoyant,bouyant,buoyant,buoyant,buoyant
buried,buired,buried,buried,bird
burn,brun,run,burn,burn
burned,bruned,brunei,burned,burned
bushel,bushle,bustle,bushel,bushle
business,buisness,business,business,business
cake,ckea,ikea,clear,clear
candle,candel,cancel,cancel,cancel
cannot,cannto,canto,cannot,cannot
capacity,capaicty,capacity,capacity,capacity
captain,captian,captain,captain,captain
care,cear,year,care,care
catalogues,catalouges,catalogues,catalogues,catalogues
cattle,cattel,cattle,cattle,cattle
cease,seace,space,space,space
ceased,seaced,sealed,seized,seized
ceiling,cieling,ceiling,ceiling,ceiling
cemetery,cemetrey,cemetery,cemetery,cemetery
certain,certian,certain,certain,certain
certificate,certifacite,certificate,certificate,certificate
chair,chiar,chair,chair,chair
changing,chnaging,changing,changing,changing
chapel,chaple,chapel,chapel,chapel
